repo,parent,weight
https://github.com/ethereum/eips,ethereum,10.2
https://github.com/ethereum/consensus-specs,ethereum,9.73
https://github.com/ethereum/go-ethereum,ethereum,9.03
https://github.com/foundry-rs/foundry,ethereum,8.5
https://github.com/argotorg/solidity,ethereum,6.46
https://github.com/prysmaticlabs/prysm,ethereum,5.21
https://github.com/sigp/lighthouse,ethereum,4.61
https://github.com/openzeppelin/openzeppelin-contracts,ethereum,3.62
https://github.com/consensys/teku,ethereum,3.5
https://github.com/ethers-io/ethers.js,ethereum,3.41
https://github.com/nethermindeth/nethermind,ethereum,3.19
https://github.com/safe-global/safe-smart-account,ethereum,2.48
https://github.com/ethereum/execution-apis,ethereum,2.47
https://github.com/nomicfoundation/hardhat,ethereum,2.42
https://github.com/paradigmxyz/reth,ethereum,2.37
https://github.com/eth-infinitism/account-abstraction,ethereum,1.57
https://github.com/status-im/nimbus-eth2,ethereum,1.56
https://github.com/hyperledger/besu,ethereum,1.46
https://github.com/chainsafe/lodestar,ethereum,1.45
https://github.com/erigontech/erigon,ethereum,1.38
https://github.com/wevm/viem,ethereum,1.35
https://github.com/ethpandaops/ethereum-package,ethereum,1.07
https://github.com/ethereum/remix-project,ethereum,0.92
https://github.com/ethereum/web3.py,ethereum,0.91
https://github.com/argotorg/sourcify,ethereum,0.75
https://github.com/erigontech/silkworm,ethereum,0.7
https://github.com/alloy-rs/alloy,ethereum,0.7
https://github.com/ethereum/evmone,ethereum,0.69
https://github.com/vyperlang/vyper,ethereum,0.68
https://github.com/nethereum/nethereum,ethereum,0.67
https://github.com/hyperledger-web3j/web3j,ethereum,0.65
https://github.com/ethereum-lists/chains,ethereum,0.56
https://github.com/ethpandaops/checkpointz,ethereum,0.52
https://github.com/a16z/helios,ethereum,0.5
https://github.com/apeworx/ape,ethereum,0.5
https://github.com/scaffold-eth/scaffold-eth-2,ethereum,0.5
https://github.com/ethpandaops/ethereum-helm-charts,ethereum,0.46
https://github.com/ethdebug/format,ethereum,0.45
https://github.com/lambdaclass/lambda_ethereum_consensus,ethereum,0.43
https://github.com/argotorg/hevm,ethereum,0.42
https://github.com/argotorg/act,ethereum,0.42
https://github.com/ethereum/py-evm,ethereum,0.36
https://github.com/vyperlang/titanoboa,ethereum,0.32
https://github.com/grandinetech/grandine,ethereum,0.28
https://github.com/argotorg/fe,ethereum,0.28
